CAFORD,DEALERNAME,ADDRESS,FAX,PROV,CITY,LATITUDE,LONGITUDE,PHONE
CAFORD,亳州市远景福润汽车销售服务有限责任公司,安徽省亳州市谯城区古井路1号,0558-5678936,安徽省,亳州市,33.831104,115.760922,#销售:0558-8887999; 服务:0558-5236777
CAFORD,亳州福铄汽车贸易有限公司,安徽省蒙城县汽车产业园园区路,0558-7675826,安徽省,亳州市,33.242618,116.568895,#销售:0558-2800888; 服务:0558-7675818
CAFORD,六安信步汽车销售服务有限公司,六安市金安区经六路8号金太阳国际汽车城,0564-3358020,安徽省,六安市,31.756022,116.568606,#销售:0564-3358018; 服务:0564-3358012
CAFORD,六安之道汽车销售服务有限公司,六安市承接产业转移集中示范区南京路,0564-3838005,安徽省,六安市,31.760237,116.618278,"#销售:0564-3696611,0564-3696622; 服务:0564-3838012"
CAFORD,安徽亚特汽车销售服务有限公司,合肥市望江西路与西二环路交叉口亚夏汽车城（环湖东路19号）,0551-65399551,安徽省,合肥市,31.830511,117.211611,#销售:0551-65399567; 服务:0551-65399555
CAFORD,安徽大步车业销售有限公司,合肥市包河区包河大道与延安路交口东北角,0551-63359888,安徽省,合肥市,31.779447,117.318495,#销售:0551-63406222; 服务:0551-63359882; 进口:0551-64280968
CAFORD,合肥恒信德龙美华汽车销售服务有限公司,安徽省合肥市庐阳区蒙城北路1111号,0551-66019120,安徽省,合肥市,31.917236,117.26556,#销售:0551-66019111; 服务:0551-66019333
CAFORD,合肥万福汽车销售有限公司,合肥市高新区长江西路与长宁大道交口中国长安万有国际汽车城内,0551-65189601,安徽省,合肥市,31.853091,117.111428,#销售:0551-65189600; 服务:0551-65189611
CAFORD,安徽省大步汽车销售服务有限公司,安徽省合肥市北二环路安徽国际汽车城,0551-4280967,安徽省,合肥市,31.883415,117.331931,#销售:0551-4280968; 服务:0551-4280968
CAFORD,安徽省大步新海大道分公司,安徽省合肥市新站区新海大道19号,0551-64396068,安徽省,合肥市,31.894756,117.349503,#销售:0551-64280968; 服务:0551-64280968
CAFORD,安庆环福汽车销售服务有限公司,安徽省安庆市中兴大道203号,0556-5307002,安徽省,安庆市,30.554928,117.05554,#销售:0556-5307000; 服务:0556-5305555
CAFORD,宣城亚夏福嘉汽车销售服务有限公司,宣城市经济开发区兴隆路2号,0563-2625468,安徽省,宣城市,30.942301,118.829917,#销售:0563-2625333; 服务:0563-2627000
CAFORD,宿州福誉通汽车销售服务有限公司,宿州市经济开发区西昌南路东侧白马商城东向南300米,0557-3331530,安徽省,宿州市,33.602512,116.970867,#销售:0557-3332255; 服务:0557-3332277
CAFORD,安徽宏安汽车销售服务有限公司,安徽省宿州市外环南路与宿怀路交叉口西南角鑫旺家居楼下,3609006,安徽省,宿州市,33.605134,116.988918,#0557-2600077;2580666
CAFORD,淮北市良宇汽车销售服务有限公司,淮北市相山区汽车城内骏驰路南,0561-3868080,安徽省,淮北市,33.924289,116.797265,#销售:0561-3892888; 服务:0561-3892888
CAFORD,巢湖大步畅达汽车科技有限公司,巢湖市半汤经济开发区金山路409-414号(巢湖市巢扬学校对面),0551-82318955,安徽省,合肥市,31.635592,117.922251,#销售:0551-82315000; 服务:0551-82318208
CAFORD,芜湖亚夏福迪无为分公司,安徽省芜湖市无为县濡须路1号,,安徽省,芜湖市,31.30982,117.895176,#销售热线：0553-6600007 ;服务热线：0553-6611888
CAFORD,安徽聚福汽车销售服务有限公司,安徽省池州市站前区汽车集聚园内（车管所旁）,0566-2099717,安徽省,池州市,30.617223,117.528262,#销售:0566-2220666; 服务:0566-2020555
CAFORD,铜陵锐钧桥南分公司,安徽省铜陵市铜都大道南段3899号,,安徽省,铜陵市,30.858422,117.757488,#销售热线：0562-6827666 ; 服务热线：0562-6727555
CAFORD,淮北市良宇汽车销售服务有限公司,淮北市相山区汽车城内骏驰路南,0561-3868080,安徽省,淮北市,33.924289,116.797265,#销售:0561-3892888; 服务:0561-3892888
CAFORD,蚌埠市润美汽车销售服务有限公司,蚌埠市高新区迎宾大道国际汽车城,0552-3711177,安徽省,淮南市,32.641,116.99289,#销售:0552-3712255; 服务:0552-3715353
CAFORD,淮南市福久汽车销售服务有限公司,安徽省淮南市经济技术开发区国庆东路,0554-3316192,安徽省,淮南市,32.661023,117.068086,#销售:0554-3311322; 服务:0554-3312811
CAFORD,滁州正丰汽车贸易服务有限公司,滁州市南谯区城南汽车工业园丰乐大道2589号（滁州职业技术学院新校区斜对面）,0550-2187058,安徽省,滁州市,32.246632,118.308343,#销售:0550-2136888; 服务:0550-2136999
CAFORD,滁州正丰天长分公司,滁州天长市广陵东路国际五金城4幢1--6号,0550-7759757,安徽省,滁州市,32.647957,119.020088,#销售:0550-7759759; 服务:0550-7759759
CAFORD,芜湖福禧汽车销售服务有限公司,芜湖市鸠江区万春西路鸠江区法院对面汽车园内,0553-5887158,安徽省,芜湖市,31.374564,118.401261,#销售:0553-5728000; 服务:0553-5727000; 进口:0553-5728000
CAFORD,芜湖亚夏福迪汽车销售服务有限公司,芜湖市三山区长江南路与龙湖路交叉口亚夏汽车财富文化广场,0553-2962558,安徽省,芜湖市,31.203893,118.27019,#销售:0553-2962998; 服务:0553-2963911
CAFORD,马鞍山福联汽车销售服务有限公司,马鞍山市湖西南路3380号152-4（东方汽博城对面）,0555-2109596,安徽省,马鞍山市,31.640413,118.498103,#销售:0555-2109595; 服务:0555-2109582
