汽车品牌,地区
讴歌,北京
奥拓,天津
阿斯顿马丁,石家庄
奥迪,唐山
宝骏,秦皇岛
北汽制造,邯郸
北京,邢台
宾利,保定
奔驰,张家口
宝马,承德
奔腾,沧州
别克,廊坊
比亚迪,衡水
凯迪拉克,太原
奇瑞,大同
雪佛兰,阳泉
长安,长治
昌河,晋城
思铭,朔州
雪铁龙,晋中
克莱斯勒,运城
大迪,忻州
达路,临汾
大发,吕梁
道奇,呼和浩特
东风,包头
长安标致雪铁龙,乌海
帝豪,赤峰
英伦,通辽
理念,鄂尔多斯
风行,呼伦贝尔
法拉利,巴彦淖尔
菲亚特,乌兰察布
富迪,兴安
福特,锡林郭勒
福田,阿拉善
风神,沈阳
富奇,大连
吉利,鞍山
全球鹰,抚顺
长城,本溪
哈飞,丹东
海马,锦州
本田,营口
红旗,阜新
现代,辽阳
英菲尼迪,盘锦
江淮,铁岭
捷豹,朝阳
吉普,葫芦岛
佳宝,长春
江铃,吉林
解放,四平
金杯,辽源
起亚,通化
陆风,白山
雷克萨斯,松原
猎豹,白城
林肯,延边
菱骏,哈尔滨
兰博基尼,齐齐哈尔
路虎,鸡西
纳智捷,鹤岗
华普,双鸭山
马自达,大庆
迈凯轮,伊春
MG,佳木斯
MINI,七台河
三菱,牡丹江
摩根,黑河
玛莎拉蒂,绥化
日产,大兴安岭
标致,上海
辉腾定制,南京
保时捷,无锡
庆铃,徐州
观致,常州
雷诺,苏州
劳斯莱斯,南通
荣威,连云港
萨博,淮安
双环,盐城
斯柯达,扬州
东南,镇江
斯巴鲁,泰州
铃木,宿迁
天马,杭州
丰田,宁波
传祺,温州
飞碟,嘉兴
启辰,湖州
沃尔沃,绍兴
大众,金华
五菱,衢州
夏利,舟山
小康,台州
中华,丽水
众泰,合肥
中兴,芜湖
,蚌埠
,淮南
,马鞍山
,淮北
,铜陵
,安庆
,黄山
,滁州
,阜阳
,宿州
,六安
,亳州
,池州
,宣城
,福州
,厦门
,莆田
,三明
,泉州
,漳州
,南平
,龙岩
,宁德
,南昌
,景德镇
,萍乡
,九江
,新余
,鹰潭
,赣州
,吉安
,宜春
,抚州
,上饶
,济南
,青岛
,淄博
,枣庄
,东营
,烟台
,潍坊
,济宁
,泰安
,威海
,日照
,莱芜
,临沂
,德州
,聊城
,滨州
,菏泽
,郑州
,开封
,洛阳
,平顶山
,安阳
,鹤壁
,新乡
,焦作
,濮阳
,许昌
,漯河
,三门峡
,南阳
,商丘
,信阳
,周口
,驻马店
,河南省直辖
,武汉
,黄石
,十堰
,宜昌
,襄阳
,鄂州
,荆门
,孝感
,荆州
,黄冈
,咸宁
,随州
,恩施
,湖北省直辖
,长沙
,株洲
,湘潭
,衡阳
,邵阳
,岳阳
,常德
,张家界
,益阳
,郴州
,永州
,怀化
,娄底
,湘西
,广州
,韶关
,深圳
,珠海
,汕头
,佛山
,江门
,湛江
,茂名
,肇庆
,惠州
,梅州
,汕尾
,河源
,阳江
,清远
,东莞
,中山
,潮州
,揭阳
,云浮
,南宁
,柳州
,桂林
,梧州
,北海
,防城港
,钦州
,贵港
,玉林
,百色
,贺州
,河池
,来宾
,崇左
,海口
,三亚
,三沙
,海南省直辖
,重庆
,成都
,自贡
,攀枝花
,泸州
,德阳
,绵阳
,广元
,遂宁
,内江
,乐山
,南充
,眉山
,宜宾
,广安
,达州
,雅安
,巴中
,资阳
,阿坝
,甘孜
,凉山
,贵阳
,六盘水
,遵义
,安顺
,毕节
,铜仁
,黔西南
,黔东南
,黔南
,昆明
,曲靖
,玉溪
,保山
,昭通
,丽江
,普洱
,临沧
,楚雄
,红河
,文山
,西双版纳
,大理
,德宏
,怒江
,迪庆
,拉萨
,昌都
,山南
,日喀则
,那曲
,阿里
,林芝
,西安
,铜川
,宝鸡
,咸阳
,渭南
,延安
,汉中
,榆林
,安康
,商洛
,兰州
,嘉峪关
,金昌
,白银
,天水
,武威
,张掖
,平凉
,酒泉
,庆阳
,定西
,陇南
,临夏
,甘南
,西宁
,海东
,海北
,黄南
,海南
,果洛
,玉树
,海西
,银川
,石嘴山
,吴忠
,固原
,中卫
,乌鲁木齐
,克拉玛依
,吐鲁番
,哈密
,昌吉
,博尔塔拉
,巴音郭楞
,阿克苏
,克孜勒苏柯尔克孜
,喀什
,和田
,伊犁
,塔城
,阿勒泰
,新疆省直辖
,河北
,山西
,内蒙古
,辽宁
,黑龙江
,江苏
,浙江
,安徽
,福建
,江西
,山东
,河南
,湖北
,湖南
,广东
,广西
,四川
,贵州
,云南
,西藏
,陕西
,甘肃
,青海
,宁夏
,新疆
